id,title,overview,cleaned_overview
19995,Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",nd century paraplegic marine dispatched moon pandora unique mission becomes torn following order protecting alien civilization
285,Pirates of the Caribbean: At World's End,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.",captain barbossa long believed dead come back life headed edge earth turner elizabeth swann nothing quite seems
206647,Spectre,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",cryptic message bond past sends trail uncover sinister organization battle political force keep secret service alive bond peel back layer deceit reveal terrible truth behind spectre
49026,The Dark Knight Rises,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",following death district attorney harvey dent batman assumes responsibility dent crime protect late attorney reputation subsequently hunted gotham city police department eight year later batman encounter mysterious selina kyle villainous bane new terrorist leader overwhelms gothams finest dark knight resurfaces protect city branded enemy
49529,John Carter,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.",john carter warweary former military captain who inexplicably transported mysterious exotic planet barsoom mar reluctantly becomes embroiled epic conflict world brink collapse carter rediscovers humanity realizes survival barsoom people rest hand
559,Spider-Man 3,"The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",seemingly invincible spiderman go allnew crop villain including shapeshifting sandman spidermans superpower altered alien organism alter ego peter parker deal nemesis eddie brock also get caught love triangle
38757,Tangled,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.",kingdom wantedand charmingbandit flynn rider hide mysterious tower he taken hostage rapunzel beautiful feisty towerbound teen foot magical golden hair flynns curious captor who looking ticket tower shes locked away year strike deal handsome thief unlikely duo set actionpacked escapade complete supercop horse overprotective chameleon gruff gang pub thug
99861,Avengers: Age of Ultron,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",tony stark try jumpstart dormant peacekeeping program thing go awry earth mightiest hero put ultimate test fate planet hang balance villainous ultron emerges avenger stop enacting terrible plan soon uneasy alliance unexpected action pave way epic unique global adventure
767,Harry Potter and the Half-Blood Prince,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.",harry begin sixth year hogwarts discovers old book marked property halfblood prince begin learn lord voldemorts dark past
209112,Batman v Superman: Dawn of Justice,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",fearing action godlike super hero left unchecked gotham city formidable forceful vigilante take metropolis revered modernday savior world wrestle sort hero really need batman superman war one another new threat quickly arises putting mankind greater danger ever known
